Sat Apr  1 10:51:00 2017,28.0,23.0
Sat Apr  1 10:52:00 2017,28.0,23.0
Sat Apr  1 10:53:02 2017,28.0,23.0
Sat Apr  1 10:54:04 2017,27.0,23.0
Sat Apr  1 10:55:00 2017,27.0,23.0
Sat Apr  1 10:56:00 2017,28.0,23.0
Sat Apr  1 10:57:00 2017,28.0,23.0
Sat Apr  1 10:58:00 2017,28.0,24.0
Sat Apr  1 10:59:00 2017,28.0,23.0
Sat Apr  1 11:00:00 2017,28.0,23.0
Sat Apr  1 11:01:00 2017,28.0,23.0
Sat Apr  1 11:02:02 2017,28.0,23.0
Sat Apr  1 11:03:00 2017,27.0,23.0
Sat Apr  1 11:04:00 2017,28.0,23.0
Sat Apr  1 11:05:00 2017,28.0,23.0
Sat Apr  1 11:06:00 2017,28.0,23.0
Sat Apr  1 11:07:00 2017,28.0,23.0
Sat Apr  1 11:08:00 2017,28.0,23.0
Sat Apr  1 11:09:00 2017,27.0,23.0
Sat Apr  1 11:10:00 2017,27.0,23.0
Sat Apr  1 11:11:00 2017,27.0,23.0
Sat Apr  1 11:12:02 2017,27.0,23.0
Sat Apr  1 11:13:00 2017,27.0,23.0
Sat Apr  1 11:14:00 2017,27.0,23.0
Sat Apr  1 11:15:00 2017,27.0,23.0
Sat Apr  1 11:16:02 2017,27.0,23.0
Sat Apr  1 11:17:00 2017,27.0,23.0
Sat Apr  1 11:18:00 2017,27.0,23.0
Sat Apr  1 11:19:00 2017,27.0,23.0
Sat Apr  1 11:20:00 2017,27.0,23.0
Sat Apr  1 11:21:00 2017,27.0,23.0
Sat Apr  1 11:22:00 2017,27.0,24.0
Sat Apr  1 11:23:00 2017,27.0,24.0
Sat Apr  1 11:24:02 2017,27.0,23.0
Sat Apr  1 11:25:00 2017,26.0,24.0
Sat Apr  1 11:26:00 2017,27.0,23.0
Sat Apr  1 11:27:00 2017,27.0,24.0
Sat Apr  1 11:28:00 2017,27.0,24.0
Sat Apr  1 11:29:00 2017,27.0,23.0
Sat Apr  1 11:30:00 2017,27.0,23.0
Sat Apr  1 11:31:00 2017,27.0,23.0
Sat Apr  1 11:32:00 2017,27.0,23.0
Sat Apr  1 11:33:02 2017,27.0,23.0
Sat Apr  1 11:34:00 2017,26.0,23.0
Sat Apr  1 11:35:00 2017,27.0,24.0
Sat Apr  1 11:36:00 2017,27.0,23.0
Sat Apr  1 11:37:00 2017,27.0,23.0
Sat Apr  1 11:38:02 2017,27.0,23.0
Sat Apr  1 11:39:00 2017,26.0,23.0
Sat Apr  1 11:40:00 2017,27.0,23.0
Sat Apr  1 11:41:00 2017,27.0,23.0
Sat Apr  1 11:42:02 2017,27.0,24.0
Sat Apr  1 11:43:00 2017,22.0,24.0
Sat Apr  1 11:44:00 2017,27.0,24.0
Sat Apr  1 11:45:00 2017,27.0,23.0
Sat Apr  1 11:46:00 2017,27.0,23.0
Sat Apr  1 11:47:00 2017,27.0,23.0
Sat Apr  1 11:48:04 2017,25.0,23.0
Sat Apr  1 11:49:00 2017,22.0,23.0
Sat Apr  1 11:50:00 2017,27.0,23.0
Sat Apr  1 11:51:00 2017,27.0,23.0
Sat Apr  1 11:52:00 2017,27.0,24.0
Sat Apr  1 11:53:02 2017,27.0,23.0
Sat Apr  1 11:54:00 2017,23.0,23.0
Sat Apr  1 11:55:02 2017,27.0,23.0
Sat Apr  1 11:56:00 2017,22.0,23.0
Sat Apr  1 11:57:00 2017,27.0,23.0
Sat Apr  1 11:58:00 2017,27.0,23.0
Sat Apr  1 11:59:00 2017,27.0,23.0
Sat Apr  1 12:00:02 2017,27.0,23.0
Sat Apr  1 12:01:04 2017,23.0,23.0
Sat Apr  1 12:02:00 2017,22.0,23.0
Sat Apr  1 12:03:00 2017,27.0,23.0
Sat Apr  1 12:04:00 2017,27.0,23.0
Sat Apr  1 12:05:00 2017,27.0,23.0
Sat Apr  1 12:06:00 2017,27.0,24.0
Sat Apr  1 12:07:00 2017,27.0,23.0
Sat Apr  1 12:08:02 2017,27.0,23.0
Sat Apr  1 12:09:00 2017,22.0,23.0
Sat Apr  1 12:10:00 2017,27.0,23.0
Sat Apr  1 12:11:00 2017,27.0,24.0
Sat Apr  1 12:12:00 2017,27.0,23.0
Sat Apr  1 12:13:00 2017,27.0,24.0
Sat Apr  1 12:14:00 2017,27.0,24.0
Sat Apr  1 12:15:00 2017,26.0,24.0
Sat Apr  1 12:16:00 2017,25.0,24.0
Sat Apr  1 12:17:00 2017,26.0,24.0
Sat Apr  1 12:18:00 2017,26.0,24.0
Sat Apr  1 12:19:00 2017,27.0,24.0
Sat Apr  1 12:20:02 2017,27.0,24.0
Sat Apr  1 12:21:02 2017,26.0,24.0
Sat Apr  1 12:22:00 2017,19.0,24.0
Sat Apr  1 12:23:00 2017,25.0,24.0
Sat Apr  1 12:24:00 2017,23.0,24.0
Sat Apr  1 12:25:00 2017,23.0,24.0
Sat Apr  1 12:26:00 2017,25.0,24.0
Sat Apr  1 12:27:00 2017,30.0,24.0
Sat Apr  1 12:28:00 2017,27.0,24.0
Sat Apr  1 12:29:00 2017,26.0,24.0
Sat Apr  1 12:30:00 2017,26.0,24.0
Sat Apr  1 12:31:02 2017,23.0,24.0
Sat Apr  1 12:32:00 2017,19.0,24.0
Sat Apr  1 12:33:00 2017,25.0,24.0
Sat Apr  1 12:34:00 2017,23.0,24.0
